Date,Channel,Installs
2014/1/21,Channel_01,17
2014/1/22,Channel_01,8
2014/1/23,Channel_01,13
2014/1/24,Channel_01,3
2014/1/25,Channel_01,20
2014/1/26,Channel_01,29
2014/1/27,Channel_01,4
2014/1/28,Channel_01,33
2014/1/29,Channel_01,24
2014/1/30,Channel_01,26
2014/1/31,Channel_01,164
2014/2/1,Channel_01,8
2014/2/2,Channel_01,15
2014/2/3,Channel_01,14
2014/2/4,Channel_01,22
2014/2/5,Channel_01,154
2014/2/6,Channel_01,181
2014/2/7,Channel_01,138
2014/2/8,Channel_01,133
2014/2/9,Channel_01,18
2014/2/10,Channel_01,102
2014/2/11,Channel_01,45
2014/2/12,Channel_01,95
2014/2/13,Channel_01,452
2014/2/14,Channel_01,615
2014/2/15,Channel_01,495
2014/2/16,Channel_01,501
2014/2/16,Channel_02,35
2014/2/17,Channel_01,508
2014/2/17,Channel_02,29
2014/2/17,Channel_03,30
2014/2/18,Channel_01,755
2014/2/18,Channel_02,47
2014/2/18,Channel_03,59
2014/2/19,Channel_01,834
2014/2/19,Channel_02,56
2014/2/19,Channel_03,75
2014/2/20,Channel_01,1048
2014/2/20,Channel_02,71
2014/2/20,Channel_03,56
2014/2/21,Channel_01,696
2014/2/21,Channel_02,38
2014/2/21,Channel_03,100
2014/2/22,Channel_01,413
2014/2/22,Channel_02,11
2014/2/22,Channel_03,121
2014/2/23,Channel_01,305
2014/2/23,Channel_02,3
2014/2/23,Channel_03,85
2014/2/24,Channel_01,387
2014/2/24,Channel_02,33
2014/2/24,Channel_03,64
2014/2/25,Channel_01,574
2014/2/25,Channel_02,50
2014/2/25,Channel_03,80
2014/2/26,Channel_01,738
2014/2/26,Channel_02,26
2014/2/26,Channel_03,79
2014/2/27,Channel_01,752
2014/2/27,Channel_02,18
2014/2/27,Channel_03,110
2014/2/28,Channel_01,994
2014/2/28,Channel_02,22
2014/2/28,Channel_03,135
2014/3/1,Channel_01,873
2014/3/1,Channel_02,21
2014/3/1,Channel_03,118
2014/3/2,Channel_01,774
2014/3/2,Channel_02,36
2014/3/2,Channel_03,96
2014/3/3,Channel_01,1748
2014/3/3,Channel_02,27
2014/3/3,Channel_03,109
2014/3/4,Channel_01,3310
2014/3/4,Channel_02,37
2014/3/4,Channel_03,105
2014/3/5,Channel_04,77
2014/3/5,Channel_05,16
2014/3/5,Channel_06,5
2014/3/5,Channel_01,6257
2014/3/5,Channel_02,20
2014/3/5,Channel_03,266
2014/3/6,Channel_04,28
2014/3/6,Channel_05,17
2014/3/6,Channel_06,1
2014/3/6,Channel_01,4136
2014/3/6,Channel_02,107
2014/3/6,Channel_03,260
2014/3/7,Channel_04,16
2014/3/7,Channel_05,24
2014/3/7,Channel_06,10
2014/3/7,Channel_07,19
2014/3/7,Channel_01,3529
2014/3/7,Channel_02,85
2014/3/7,Channel_03,234
2014/3/8,Channel_05,4
2014/3/8,Channel_06,15
2014/3/8,Channel_07,33
2014/3/8,Channel_01,3919
2014/3/8,Channel_02,128
2014/3/8,Channel_03,234
2014/3/9,Channel_07,36
2014/3/9,Channel_01,4051
2014/3/9,Channel_02,103
2014/3/9,Channel_03,233
2014/3/10,Channel_01,3595
2014/3/10,Channel_02,142
2014/3/10,Channel_03,156
2014/3/11,Channel_01,2505
2014/3/11,Channel_02,182
2014/3/11,Channel_03,35
2014/3/12,Channel_01,1772
2014/3/12,Channel_02,112
2014/3/12,Channel_03,43
2014/3/13,Channel_01,663
2014/3/13,Channel_02,14
2014/3/13,Channel_03,21
2014/3/14,Channel_01,545
2014/3/14,Channel_02,25
2014/3/14,Channel_03,21
2014/3/15,Channel_01,210
2014/3/15,Channel_02,23
2014/3/15,Channel_03,34
2014/3/16,Channel_01,270
2014/3/16,Channel_02,30
2014/3/16,Channel_03,30
2014/3/17,Channel_01,341
2014/3/17,Channel_02,13
2014/3/17,Channel_03,22
2014/3/18,Channel_01,613
2014/3/18,Channel_02,26
2014/3/18,Channel_03,41
2014/3/19,Channel_08,11
2014/3/19,Channel_01,809
2014/3/19,Channel_02,3
2014/3/19,Channel_03,24
2014/3/20,Channel_09,4
2014/3/20,Channel_08,25
2014/3/20,Channel_10,32
2014/3/20,Channel_01,1013
2014/3/20,Channel_02,2
2014/3/20,Channel_03,49
2014/3/21,Channel_06,25
2014/3/21,Channel_09,53
2014/3/21,Channel_08,31
2014/3/21,Channel_11,23
2014/3/21,Channel_10,20
2014/3/21,Channel_01,882
2014/3/21,Channel_02,20
2014/3/21,Channel_12,24
2014/3/21,Channel_03,57
2014/3/22,Channel_06,52
2014/3/22,Channel_09,41
2014/3/22,Channel_08,40
2014/3/22,Channel_10,14
2014/3/22,Channel_01,670
2014/3/22,Channel_02,13
2014/3/22,Channel_12,20
2014/3/22,Channel_03,53
2014/3/23,Channel_06,31
2014/3/23,Channel_09,72
2014/3/23,Channel_08,23
2014/3/23,Channel_10,40
2014/3/23,Channel_01,658
2014/3/23,Channel_02,16
2014/3/23,Channel_12,13
2014/3/23,Channel_03,59
2014/3/24,Channel_06,3
2014/3/24,Channel_09,66
2014/3/24,Channel_08,23
2014/3/24,Channel_11,27
2014/3/24,Channel_10,30
2014/3/24,Channel_01,716
2014/3/24,Channel_02,14
2014/3/24,Channel_12,22
2014/3/24,Channel_03,35
2014/3/25,Channel_06,18
2014/3/25,Channel_09,18
2014/3/25,Channel_08,15
2014/3/25,Channel_10,31
2014/3/25,Channel_01,1206
2014/3/25,Channel_02,9
2014/3/25,Channel_12,14
2014/3/25,Channel_03,36
2014/3/26,Channel_06,20
2014/3/26,Channel_09,45
2014/3/26,Channel_08,35
2014/3/26,Channel_11,17
2014/3/26,Channel_10,44
2014/3/26,Channel_01,1454
2014/3/26,Channel_02,22
2014/3/26,Channel_12,2
2014/3/26,Channel_03,48
2014/3/27,Channel_06,46
2014/3/27,Channel_09,24
2014/3/27,Channel_08,36
2014/3/27,Channel_11,26
2014/3/27,Channel_10,51
2014/3/27,Channel_01,1397
2014/3/27,Channel_12,3
2014/3/27,Channel_03,54
2014/3/28,Channel_06,24
2014/3/28,Channel_09,34
2014/3/28,Channel_08,21
2014/3/28,Channel_10,24
2014/3/28,Channel_01,1344
2014/3/28,Channel_12,25
2014/3/28,Channel_03,28
2014/3/29,Channel_06,66
2014/3/29,Channel_09,33
2014/3/29,Channel_08,18
2014/3/29,Channel_10,30
2014/3/29,Channel_01,1444
2014/3/29,Channel_12,9
2014/3/29,Channel_03,82
2014/3/30,Channel_06,54
2014/3/30,Channel_09,37
2014/3/30,Channel_08,32
2014/3/30,Channel_10,40
2014/3/30,Channel_01,1384
2014/3/30,Channel_12,29
2014/3/30,Channel_03,55
2014/3/31,Channel_06,25
2014/3/31,Channel_09,43
2014/3/31,Channel_08,34
2014/3/31,Channel_10,35
2014/3/31,Channel_01,1246
2014/3/31,Channel_12,27
2014/3/31,Channel_03,60
2014/4/1,Channel_13,20
2014/4/1,Channel_06,1
2014/4/1,Channel_09,30
2014/4/1,Channel_08,35
2014/4/1,Channel_10,70
2014/4/1,Channel_01,1196
2014/4/1,Channel_12,19
2014/4/1,Channel_03,74
2014/4/2,Channel_13,14
2014/4/2,Channel_06,5
2014/4/2,Channel_09,44
2014/4/2,Channel_08,34
2014/4/2,Channel_10,34
2014/4/2,Channel_01,1481
2014/4/2,Channel_12,10
2014/4/2,Channel_03,67
2014/4/3,Channel_13,11
2014/4/3,Channel_06,27
2014/4/3,Channel_09,29
2014/4/3,Channel_08,18
2014/4/3,Channel_10,28
2014/4/3,Channel_01,1549
2014/4/3,Channel_12,5
2014/4/3,Channel_03,54
2014/4/4,Channel_13,40
2014/4/4,Channel_06,28
2014/4/4,Channel_09,36
2014/4/4,Channel_08,10
2014/4/4,Channel_10,52
2014/4/4,Channel_01,1518
2014/4/4,Channel_12,4
2014/4/4,Channel_03,66
2014/4/5,Channel_13,35
2014/4/5,Channel_06,25
2014/4/5,Channel_09,7
2014/4/5,Channel_08,24
2014/4/5,Channel_10,23
2014/4/5,Channel_01,1951
2014/4/5,Channel_12,1
2014/4/5,Channel_03,19
2014/4/6,Channel_13,12
2014/4/6,Channel_06,14
2014/4/6,Channel_09,30
2014/4/6,Channel_08,11
2014/4/6,Channel_10,44
2014/4/6,Channel_01,1796
2014/4/6,Channel_12,20
2014/4/6,Channel_03,9
2014/4/7,Channel_13,22
2014/4/7,Channel_06,29
2014/4/7,Channel_09,22
2014/4/7,Channel_08,21
2014/4/7,Channel_10,37
2014/4/7,Channel_01,1633
2014/4/7,Channel_12,16
2014/4/7,Channel_03,35
2014/4/8,Channel_13,12
2014/4/8,Channel_06,29
2014/4/8,Channel_14,28
2014/4/8,Channel_09,26
2014/4/8,Channel_08,24
2014/4/8,Channel_10,40
2014/4/8,Channel_01,1240
2014/4/8,Channel_12,23
2014/4/8,Channel_03,33
2014/4/9,Channel_13,42
2014/4/9,Channel_06,9
2014/4/9,Channel_14,5
2014/4/9,Channel_09,33
2014/4/9,Channel_08,19
2014/4/9,Channel_10,47
2014/4/9,Channel_01,1221
2014/4/9,Channel_12,21
2014/4/9,Channel_03,35
2014/4/10,Channel_13,24
2014/4/10,Channel_06,24
2014/4/10,Channel_14,16
2014/4/10,Channel_09,37
2014/4/10,Channel_08,19
2014/4/10,Channel_15,4
2014/4/10,Channel_10,51
2014/4/10,Channel_01,1099
2014/4/10,Channel_12,4
2014/4/10,Channel_03,32
2014/4/11,Channel_13,28
2014/4/11,Channel_06,27
2014/4/11,Channel_14,12
2014/4/11,Channel_09,40
2014/4/11,Channel_08,34
2014/4/11,Channel_10,64
2014/4/11,Channel_01,1125
2014/4/11,Channel_12,18
2014/4/11,Channel_03,21
2014/4/12,Channel_13,10
2014/4/12,Channel_06,23
2014/4/12,Channel_14,5
2014/4/12,Channel_09,43
2014/4/12,Channel_08,21
2014/4/12,Channel_10,54
2014/4/12,Channel_01,2227
2014/4/12,Channel_12,20
2014/4/12,Channel_03,34
2014/4/13,Channel_13,12
2014/4/13,Channel_06,13
2014/4/13,Channel_14,14
2014/4/13,Channel_09,44
2014/4/13,Channel_08,6
2014/4/13,Channel_10,51
2014/4/13,Channel_01,2017
2014/4/13,Channel_12,10
2014/4/13,Channel_03,20
2014/4/14,Channel_13,2
2014/4/14,Channel_06,2
2014/4/14,Channel_14,24
2014/4/14,Channel_09,35
2014/4/14,Channel_08,24
2014/4/14,Channel_15,34
2014/4/14,Channel_10,57
2014/4/14,Channel_01,1754
2014/4/14,Channel_12,20
2014/4/14,Channel_03,26
2014/4/15,Channel_13,27
2014/4/15,Channel_06,29
2014/4/15,Channel_14,26
2014/4/15,Channel_09,31
2014/4/15,Channel_08,31
2014/4/15,Channel_10,45
2014/4/15,Channel_01,1446
2014/4/15,Channel_03,33
2014/4/16,Channel_13,9
2014/4/16,Channel_06,31
2014/4/16,Channel_14,34
2014/4/16,Channel_09,26
2014/4/16,Channel_08,24
2014/4/16,Channel_10,48
2014/4/16,Channel_01,1325
2014/4/16,Channel_03,15
2014/4/17,Channel_06,24
2014/4/17,Channel_14,27
2014/4/17,Channel_09,25
2014/4/17,Channel_08,35
2014/4/17,Channel_10,83
2014/4/17,Channel_01,1351
2014/4/17,Channel_12,2
2014/4/17,Channel_03,38
2014/4/18,Channel_13,24
2014/4/18,Channel_06,5
2014/4/18,Channel_14,35
2014/4/18,Channel_09,17
2014/4/18,Channel_08,36
2014/4/18,Channel_15,8
2014/4/18,Channel_16,73
2014/4/18,Channel_10,120
2014/4/18,Channel_01,2096
2014/4/18,Channel_03,25
2014/4/19,Channel_13,9
2014/4/19,Channel_06,24
2014/4/19,Channel_14,35
2014/4/19,Channel_09,17
2014/4/19,Channel_08,40
2014/4/19,Channel_15,31
2014/4/19,Channel_16,104
2014/4/19,Channel_10,135
2014/4/19,Channel_01,1475
2014/4/19,Channel_12,27
2014/4/19,Channel_03,46
2014/4/20,Channel_13,3
2014/4/20,Channel_06,13
2014/4/20,Channel_14,33
2014/4/20,Channel_09,12
2014/4/20,Channel_08,33
2014/4/20,Channel_15,16
2014/4/20,Channel_16,74
2014/4/20,Channel_10,90
2014/4/20,Channel_01,1258
2014/4/20,Channel_03,43
2014/4/21,Channel_13,35
2014/4/21,Channel_14,28
2014/4/21,Channel_08,23
2014/4/21,Channel_16,98
2014/4/21,Channel_10,113
2014/4/21,Channel_01,1235
2014/4/21,Channel_03,31
2014/4/22,Channel_13,20
2014/4/22,Channel_14,25
2014/4/22,Channel_09,22
2014/4/22,Channel_08,12
2014/4/22,Channel_15,22
2014/4/22,Channel_16,74
2014/4/22,Channel_10,113
2014/4/22,Channel_01,1143
2014/4/22,Channel_12,21
2014/4/22,Channel_03,57
2014/4/23,Channel_13,22
2014/4/23,Channel_09,26
2014/4/23,Channel_08,15
2014/4/23,Channel_16,100
2014/4/23,Channel_10,230
2014/4/23,Channel_01,1259
2014/4/23,Channel_03,73
2014/4/24,Channel_13,29
2014/4/24,Channel_09,15
2014/4/24,Channel_08,19
2014/4/24,Channel_15,19
2014/4/24,Channel_16,251
2014/4/24,Channel_10,220
2014/4/24,Channel_01,1374
2014/4/24,Channel_03,21
2014/4/25,Channel_13,26
2014/4/25,Channel_09,30
2014/4/25,Channel_08,32
2014/4/25,Channel_15,14
2014/4/25,Channel_16,78
2014/4/25,Channel_10,190
2014/4/25,Channel_01,1392
2014/4/25,Channel_03,19
2014/4/26,Channel_13,28
2014/4/26,Channel_09,22
2014/4/26,Channel_08,50
2014/4/26,Channel_15,24
2014/4/26,Channel_16,89
2014/4/26,Channel_10,198
2014/4/26,Channel_01,1458
2014/4/26,Channel_03,17
2014/4/27,Channel_13,34
2014/4/27,Channel_09,20
2014/4/27,Channel_08,36
2014/4/27,Channel_15,14
2014/4/27,Channel_16,78
2014/4/27,Channel_10,181
2014/4/27,Channel_01,1505
2014/4/27,Channel_03,19
2014/4/28,Channel_13,26
2014/4/28,Channel_09,33
2014/4/28,Channel_08,31
2014/4/28,Channel_15,20
2014/4/28,Channel_16,105
2014/4/28,Channel_10,104
2014/4/28,Channel_01,1173
2014/4/28,Channel_03,31
2014/4/29,Channel_13,42
2014/4/29,Channel_09,12
2014/4/29,Channel_08,24
2014/4/29,Channel_16,469
2014/4/29,Channel_10,255
2014/4/29,Channel_01,1343
2014/4/29,Channel_03,24
2014/4/30,Channel_13,17
2014/4/30,Channel_14,3
2014/4/30,Channel_09,24
2014/4/30,Channel_08,26
2014/4/30,Channel_16,668
2014/4/30,Channel_10,76
2014/4/30,Channel_01,1142
2014/4/30,Channel_17,11
2014/4/30,Channel_03,29
2014/5/1,Channel_06,30
2014/5/1,Channel_09,5
2014/5/1,Channel_08,35
2014/5/1,Channel_15,8
2014/5/1,Channel_16,645
2014/5/1,Channel_10,64
2014/5/1,Channel_01,1015
2014/5/1,Channel_03,36
2014/5/2,Channel_06,39
2014/5/2,Channel_09,13
2014/5/2,Channel_08,44
2014/5/2,Channel_15,9
2014/5/2,Channel_16,607
2014/5/2,Channel_10,42
2014/5/2,Channel_01,1115
2014/5/2,Channel_03,27
2014/5/3,Channel_06,52
2014/5/3,Channel_09,8
2014/5/3,Channel_08,53
2014/5/3,Channel_15,15
2014/5/3,Channel_16,581
2014/5/3,Channel_10,37
2014/5/3,Channel_01,1231
2014/5/3,Channel_03,28
2014/5/4,Channel_06,29
2014/5/4,Channel_09,15
2014/5/4,Channel_08,47
2014/5/4,Channel_15,12
2014/5/4,Channel_16,548
2014/5/4,Channel_10,38
2014/5/4,Channel_01,1383
2014/5/4,Channel_03,35
2014/5/5,Channel_06,40
2014/5/5,Channel_09,11
2014/5/5,Channel_08,65
2014/5/5,Channel_15,18
2014/5/5,Channel_16,532
2014/5/5,Channel_10,57
2014/5/5,Channel_01,1217
2014/5/5,Channel_03,54
2014/5/6,Channel_05,28
2014/5/6,Channel_09,14
2014/5/6,Channel_08,62
2014/5/6,Channel_15,28
2014/5/6,Channel_16,474
2014/5/6,Channel_10,79
2014/5/6,Channel_01,1271
2014/5/6,Channel_03,34
2014/5/7,Channel_05,24
2014/5/7,Channel_09,27
2014/5/7,Channel_08,50
2014/5/7,Channel_15,29
2014/5/7,Channel_16,605
2014/5/7,Channel_10,93
2014/5/7,Channel_01,1366
2014/5/7,Channel_03,47
2014/5/8,Channel_05,56
2014/5/8,Channel_09,2
2014/5/8,Channel_08,41
2014/5/8,Channel_15,3
2014/5/8,Channel_16,568
2014/5/8,Channel_10,63
2014/5/8,Channel_01,1130
2014/5/8,Channel_03,37
2014/5/9,Channel_05,38
2014/5/9,Channel_15,13
2014/5/9,Channel_16,567
2014/5/9,Channel_10,44
2014/5/9,Channel_01,969
2014/5/9,Channel_03,33
2014/5/10,Channel_15,17
2014/5/10,Channel_16,601
2014/5/10,Channel_10,17
2014/5/10,Channel_01,1049
2014/5/10,Channel_03,11
2014/5/11,Channel_08,16
2014/5/11,Channel_15,30
2014/5/11,Channel_16,539
2014/5/11,Channel_10,41
2014/5/11,Channel_01,1155
2014/5/11,Channel_03,9
2014/5/12,Channel_05,20
2014/5/12,Channel_09,26
2014/5/12,Channel_15,36
2014/5/12,Channel_16,491
2014/5/12,Channel_10,15
2014/5/12,Channel_01,1021
2014/5/12,Channel_03,24
2014/5/13,Channel_05,0
2014/5/13,Channel_09,6
2014/5/13,Channel_15,49
2014/5/13,Channel_16,401
2014/5/13,Channel_10,37
2014/5/13,Channel_01,1015
2014/5/13,Channel_03,12
2014/5/14,Channel_18,13
2014/5/14,Channel_19,3
2014/5/14,Channel_09,19
2014/5/14,Channel_15,100
2014/5/14,Channel_16,368
2014/5/14,Channel_10,13
2014/5/14,Channel_01,869
2014/5/14,Channel_03,15
2014/5/15,Channel_18,20
2014/5/15,Channel_19,24
2014/5/15,Channel_09,10
2014/5/15,Channel_15,102
2014/5/15,Channel_16,358
2014/5/15,Channel_10,35
2014/5/15,Channel_01,1089
2014/5/15,Channel_03,9
2014/5/16,Channel_18,6
2014/5/16,Channel_19,23
2014/5/16,Channel_09,27
2014/5/16,Channel_15,80
2014/5/16,Channel_16,327
2014/5/16,Channel_10,72
2014/5/16,Channel_01,573
2014/5/16,Channel_03,13
2014/5/17,Channel_18,12
2014/5/17,Channel_19,14
2014/5/17,Channel_09,7
2014/5/17,Channel_15,87
2014/5/17,Channel_16,342
2014/5/17,Channel_10,70
2014/5/17,Channel_01,914
2014/5/17,Channel_03,25
2014/5/18,Channel_09,11
2014/5/18,Channel_15,61
2014/5/18,Channel_16,409
2014/5/18,Channel_10,81
2014/5/18,Channel_01,903
2014/5/18,Channel_03,32
2014/5/19,Channel_19,4
2014/5/19,Channel_09,23
2014/5/19,Channel_15,63
2014/5/19,Channel_16,411
2014/5/19,Channel_10,63
2014/5/19,Channel_01,746
2014/5/19,Channel_03,10
2014/5/20,Channel_15,73
2014/5/20,Channel_16,363
2014/5/20,Channel_10,53
2014/5/20,Channel_01,764
2014/5/20,Channel_03,31
2014/5/21,Channel_19,1
2014/5/21,Channel_09,22
2014/5/21,Channel_15,130
2014/5/21,Channel_16,344
2014/5/21,Channel_10,117
2014/5/21,Channel_01,856
2014/5/21,Channel_03,8
2014/5/22,Channel_09,28
2014/5/22,Channel_15,152
2014/5/22,Channel_16,343
2014/5/22,Channel_10,89
2014/5/22,Channel_01,691
2014/5/22,Channel_03,3
2014/5/23,Channel_09,6
2014/5/23,Channel_15,129
2014/5/23,Channel_16,276
2014/5/23,Channel_10,104
2014/5/23,Channel_01,794
2014/5/23,Channel_03,18
2014/5/24,Channel_09,11
2014/5/24,Channel_15,90
2014/5/24,Channel_16,266
2014/5/24,Channel_10,91
2014/5/24,Channel_01,683
2014/5/24,Channel_03,19
2014/5/25,Channel_09,13
2014/5/25,Channel_15,105
2014/5/25,Channel_16,236
2014/5/25,Channel_10,103
2014/5/25,Channel_01,650
2014/5/25,Channel_03,26
2014/5/26,Channel_19,17
2014/5/26,Channel_09,13
2014/5/26,Channel_15,114
2014/5/26,Channel_16,262
2014/5/26,Channel_10,84
2014/5/26,Channel_01,536
2014/5/26,Channel_03,28
2014/5/27,Channel_19,3
2014/5/27,Channel_09,19
2014/5/27,Channel_15,165
2014/5/27,Channel_16,336
2014/5/27,Channel_10,136
2014/5/27,Channel_01,724
2014/5/27,Channel_03,36
2014/5/28,Channel_19,3
2014/5/28,Channel_09,25
2014/5/28,Channel_15,150
2014/5/28,Channel_16,373
2014/5/28,Channel_10,68
2014/5/28,Channel_01,671
2014/5/28,Channel_03,18
2014/5/29,Channel_19,12
2014/5/29,Channel_09,27
2014/5/29,Channel_15,150
2014/5/29,Channel_16,333
2014/5/29,Channel_10,80
2014/5/29,Channel_01,811
2014/5/29,Channel_03,34
2014/5/30,Channel_18,8
2014/5/30,Channel_19,14
2014/5/30,Channel_09,30
2014/5/30,Channel_15,168
2014/5/30,Channel_16,362
2014/5/30,Channel_10,100
2014/5/30,Channel_01,745
2014/5/30,Channel_03,17
2014/5/31,Channel_19,8
2014/5/31,Channel_09,5
2014/5/31,Channel_15,150
2014/5/31,Channel_16,291
2014/5/31,Channel_10,90
2014/5/31,Channel_01,853
2014/5/31,Channel_03,28
2014/6/1,Channel_20,8
2014/6/1,Channel_21,11
2014/6/1,Channel_09,16
2014/6/1,Channel_08,20
2014/6/1,Channel_15,162
2014/6/1,Channel_16,372
2014/6/1,Channel_10,92
2014/6/1,Channel_01,899
2014/6/1,Channel_02,26
2014/6/1,Channel_03,44
2014/6/2,Channel_19,24
2014/6/2,Channel_09,23
2014/6/2,Channel_15,138
2014/6/2,Channel_16,340
2014/6/2,Channel_10,111
2014/6/2,Channel_01,962
2014/6/2,Channel_03,36
2014/6/3,Channel_22,14
2014/6/3,Channel_09,7
2014/6/3,Channel_15,130
2014/6/3,Channel_16,289
2014/6/3,Channel_10,87
2014/6/3,Channel_01,1037
2014/6/3,Channel_03,24
2014/6/4,Channel_19,28
2014/6/4,Channel_09,4
2014/6/4,Channel_15,150
2014/6/4,Channel_16,333
2014/6/4,Channel_10,153
2014/6/4,Channel_01,1097
2014/6/4,Channel_03,5
2014/6/5,Channel_04,43
2014/6/5,Channel_23,18
2014/6/5,Channel_22,34
2014/6/5,Channel_19,12
2014/6/5,Channel_09,9
2014/6/5,Channel_15,190
2014/6/5,Channel_16,357
2014/6/5,Channel_10,143
2014/6/5,Channel_01,980
2014/6/5,Channel_24,18
2014/6/5,Channel_03,20
2014/6/6,Channel_04,72
2014/6/6,Channel_23,22
2014/6/6,Channel_22,13
2014/6/6,Channel_19,6
2014/6/6,Channel_09,23
2014/6/6,Channel_15,160
2014/6/6,Channel_16,460
2014/6/6,Channel_10,122
2014/6/6,Channel_01,1542
2014/6/6,Channel_03,11
2014/6/7,Channel_04,60
2014/6/7,Channel_25,29
2014/6/7,Channel_19,11
2014/6/7,Channel_09,10
2014/6/7,Channel_15,190
2014/6/7,Channel_16,636
2014/6/7,Channel_10,113
2014/6/7,Channel_01,1548
2014/6/7,Channel_03,23
2014/6/8,Channel_04,46
2014/6/8,Channel_19,14
2014/6/8,Channel_09,23
2014/6/8,Channel_15,213
2014/6/8,Channel_16,647
2014/6/8,Channel_10,78
2014/6/8,Channel_01,1152
2014/6/8,Channel_03,14
2014/6/9,Channel_04,25
2014/6/9,Channel_22,42
2014/6/9,Channel_09,20
2014/6/9,Channel_15,175
2014/6/9,Channel_16,563
2014/6/9,Channel_10,89
2014/6/9,Channel_01,808
2014/6/9,Channel_03,26
2014/6/10,Channel_04,50
2014/6/10,Channel_22,66
2014/6/10,Channel_26,32
2014/6/10,Channel_15,149
2014/6/10,Channel_16,603
2014/6/10,Channel_10,87
2014/6/10,Channel_01,896
2014/6/10,Channel_24,26
2014/6/10,Channel_03,10
2014/6/11,Channel_04,49
2014/6/11,Channel_22,84
2014/6/11,Channel_26,98
2014/6/11,Channel_19,24
2014/6/11,Channel_09,30
2014/6/11,Channel_08,20
2014/6/11,Channel_15,175
2014/6/11,Channel_16,631
2014/6/11,Channel_10,143
2014/6/11,Channel_01,1113
2014/6/11,Channel_03,14
2014/6/12,Channel_04,54
2014/6/12,Channel_22,74
2014/6/12,Channel_26,68
2014/6/12,Channel_19,28
2014/6/12,Channel_15,179
2014/6/12,Channel_16,731
2014/6/12,Channel_10,129
2014/6/12,Channel_01,900
2014/6/12,Channel_24,39
2014/6/12,Channel_03,29
2014/6/13,Channel_04,32
2014/6/13,Channel_22,61
2014/6/13,Channel_26,101
2014/6/13,Channel_19,21
2014/6/13,Channel_09,29
2014/6/13,Channel_15,192
2014/6/13,Channel_27,9
2014/6/13,Channel_16,871
2014/6/13,Channel_10,120
2014/6/13,Channel_01,891
2014/6/13,Channel_24,86
2014/6/13,Channel_03,27
2014/6/14,Channel_04,33
2014/6/14,Channel_22,31
2014/6/14,Channel_26,97
2014/6/14,Channel_19,21
2014/6/14,Channel_14,11
2014/6/14,Channel_09,29
2014/6/14,Channel_15,209
2014/6/14,Channel_27,18
2014/6/14,Channel_16,732
2014/6/14,Channel_10,112
2014/6/14,Channel_01,1030
2014/6/14,Channel_24,71
2014/6/14,Channel_03,29
2014/6/15,Channel_04,20
2014/6/15,Channel_26,97
2014/6/15,Channel_14,19
2014/6/15,Channel_15,180
2014/6/15,Channel_27,30
2014/6/15,Channel_16,793
2014/6/15,Channel_10,125
2014/6/15,Channel_01,1110
2014/6/15,Channel_24,86
2014/6/15,Channel_03,6
2014/6/16,Channel_04,10
2014/6/16,Channel_26,61
2014/6/16,Channel_19,6
2014/6/16,Channel_09,25
2014/6/16,Channel_15,191
2014/6/16,Channel_27,31
2014/6/16,Channel_16,846
2014/6/16,Channel_10,110
2014/6/16,Channel_01,1036
2014/6/16,Channel_24,79
2014/6/16,Channel_03,26
2014/6/17,Channel_04,4
2014/6/17,Channel_26,72
2014/6/17,Channel_09,18
2014/6/17,Channel_15,167
2014/6/17,Channel_27,16
2014/6/17,Channel_16,694
2014/6/17,Channel_10,86
2014/6/17,Channel_01,1002
2014/6/17,Channel_24,70
2014/6/17,Channel_03,9
2014/6/18,Channel_04,7
2014/6/18,Channel_26,77
2014/6/18,Channel_19,14
2014/6/18,Channel_09,1
2014/6/18,Channel_15,161
2014/6/18,Channel_27,8
2014/6/18,Channel_16,842
2014/6/18,Channel_10,73
2014/6/18,Channel_01,1038
2014/6/18,Channel_24,111
2014/6/18,Channel_28,24
2014/6/18,Channel_03,6
2014/6/19,Channel_26,106
2014/6/19,Channel_09,11
2014/6/19,Channel_15,152
2014/6/19,Channel_27,11
2014/6/19,Channel_16,771
2014/6/19,Channel_10,81
2014/6/19,Channel_01,899
2014/6/19,Channel_24,101
2014/6/19,Channel_03,34
